i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
9,482,WIN,1180,12.603383,2190,103,103,100.0,1756179448
0,3566,LOSS,7350,15.364018,2676,103,100,97.09,1756179650
1,1744,WIN,2580,16.75188,2865,103,103,100.0,1756179667
2,102,WIN,2630,15.316457,2685,103,103,100.0,1756179683
3,923,LOSS,52120,16.629617,2931,103,97,94.17,1756179701
4,2255,LOSS,103320,17.698657,3107,103,97,94.17,1756179719
5,1400,WIN,7430,18.422426,3270,103,103,100.0,1756179738
6,1848,WIN,2580,18.764731,3360,103,103,100.0,1756179757
7,7984,WIN,7430,16.396606,2880,103,103,100.0,1756179774
8,3997,WIN,1380,15.997496,2820,103,103,100.0,1756179791
9,4990,WIN,7430,18.339277,3270,103,103,100.0,1756179810
0,6266,WIN,13830,16.563652,2940,103,103,100.0,1756182417
1,2501,WIN,2630,14.656916,2610,103,103,100.0,1756182432
2,8437,WIN,7430,16.211423,2880,103,103,100.0,1756182449
3,155,WIN,2630,14.748828,2610,103,103,100.0,1756182465
4,3570,WIN,2630,14.793031,2610,103,103,100.0,1756182480
5,9668,WIN,4230,15.881941,2835,103,103,100.0,1756182496
6,7051,LOSS,4150,13.623111,2421,103,100,97.09,1756182511
7,3822,LOSS,13820,16.739408,2948,103,102,99.03,1756182528
8,1589,WIN,7430,18.326822,3270,103,103,100.0,1756182547
9,3919,WIN,13830,16.650534,2940,103,103,100.0,1756182564
10,9830,LOSS,4100,13.642383,2406,103,95,92.23,1756182578
11,433,WIN,2630,14.846939,2610,103,103,100.0,1756182594
12,4285,WIN,13830,16.246877,2880,103,103,100.0,1756182611
13,2863,WIN,2630,14.885325,2610,103,103,100.0,1756182626
14,4828,WIN,1380,14.425502,2550,103,103,100.0,1756182641
15,4282,WIN,2630,14.775054,2610,103,103,100.0,1756182657
16,1424,WIN,7430,16.826512,2970,103,103,100.0,1756182674
17,414,WIN,2630,15.005464,2655,103,103,100.0,1756182690
18,7515,LOSS,7350,18.032953,3184,103,100,97.09,1756182708
19,1449,WIN,4180,17.614568,3105,103,103,100.0,1756182727
20,1333,WIN,2580,16.075819,2835,103,103,100.0,1756182743
21,6944,LOSS,4140,15.787482,2781,103,99,96.12,1756182760
22,456,WIN,2630,15.592087,2775,103,103,100.0,1756182776
23,5956,LOSS,4150,13.579351,2421,103,100,97.09,1756182790
24,5252,WIN,2630,14.721198,2610,103,103,100.0,1756182805
25,2036,LOSS,2270,9.180797,1641,103,77,74.76,1756182815
26,9719,WIN,7430,16.713525,2955,103,103,100.0,1756182833
27,7581,WIN,1380,16.0835,2850,103,103,100.0,1756182849
28,5045,WIN,2630,14.752222,2610,103,103,100.0,1756182865
29,5962,WIN,2580,20.355247,3615,103,103,100.0,1756182886
30,7195,WIN,1380,14.483212,2550,103,103,100.0,1756182901
31,1327,WIN,2630,15.517861,2775,103,103,100.0,1756182917
32,1529,WIN,1380,15.881005,2820,103,103,100.0,1756182933
33,5005,WIN,2630,14.720991,2610,103,103,100.0,1756182949
34,1600,LOSS,2440,15.259842,2703,103,94,91.26,1756182964
35,1312,LOSS,4160,17.412232,3084,103,101,98.06,1756182982
36,9798,WIN,7430,17.0891,3030,103,103,100.0,1756183000
37,7079,WIN,1380,15.321127,2640,103,103,100.0,1756183016
38,2254,WIN,7430,18.826956,3270,103,103,100.0,1756183036
39,8391,WIN,4230,15.835478,2760,103,103,100.0,1756183052
40,6753,WIN,2580,16.258047,2835,103,103,100.0,1756183069
41,4298,WIN,2630,14.905807,2610,103,103,100.0,1756183085
42,2431,WIN,7430,18.677737,3270,103,103,100.0,1756183105
43,642,WIN,2580,14.431407,2535,103,103,100.0,1756183120
44,8423,WIN,1380,14.588205,2550,103,103,100.0,1756183135
45,4920,WIN,2630,14.959157,2610,103,103,100.0,1756183151
46,5347,WIN,1380,16.737874,2910,103,103,100.0,1756183169
47,2015,LOSS,2440,13.125955,2312,103,94,91.26,1756183182
48,8444,LOSS,13760,16.942699,2985,103,101,98.06,1756183200
49,9004,WIN,2580,14.494212,2535,103,103,100.0,1756183216
0,3315,LOSS,8350,29.862168,5177,213,195,91.55,1756187150
1,6018,LOSS,14920,31.587721,5424,213,212,99.53,1756187183
2,419,LOSS,8330,29.156963,5085,213,193,90.61,1756187213
3,1382,LOSS,2460,33.157282,5799,213,206,96.71,1756187246
4,9242,LOSS,8390,27.750632,4857,213,199,93.43,1756187275
5,6167,WIN,2330,34.34088,5985,213,213,100.0,1756187310
6,4525,LOSS,3630,30.846114,5360,213,203,95.31,1756187342
7,3152,LOSS,5270,32.643901,5691,213,207,97.18,1756187375
8,2536,WIN,2330,38.666071,6780,213,213,100.0,1756187414
9,4142,LOSS,2490,14.462988,2589,213,99,46.48,1756187429
0,8998,WIN,7430,18.129976,3270,103,103,100.0,1756187513
1,1738,LOSS,7350,14.955605,2676,103,100,97.09,1756187529
2,5426,WIN,7430,16.814124,3000,103,103,100.0,1756187546
3,6695,WIN,2580,15.922306,2835,103,103,100.0,1756187563
4,5748,WIN,7430,21.053091,3705,103,103,100.0,1756187585
5,1178,WIN,7430,16.093749,2895,103,103,100.0,1756187601
6,1508,WIN,7430,16.522437,2910,103,103,100.0,1756187618
7,2707,WIN,2630,15.698098,2775,103,103,100.0,1756187635
8,4386,WIN,2580,14.064743,2535,103,103,100.0,1756187649
9,7980,WIN,7430,16.863362,3045,103,103,100.0,1756187667
0,1841,LOSS,3060,23.080384,4128,213,151,70.89,1756187705
1,8631,WIN,14930,36.537439,6464,213,213,100.0,1756187742
2,8648,LOSS,2490,14.521199,2589,213,99,46.48,1756187758
3,1623,LOSS,8520,34.683685,6183,213,212,99.53,1756187793
4,1958,LOSS,3340,29.510142,5208,213,179,84.04,1756187823
5,1145,LOSS,3700,33.588074,6042,213,210,98.59,1756187857
6,3187,LOSS,1740,26.196275,4595,213,159,74.65,1756187884
7,4707,LOSS,3660,39.626069,7120,213,206,96.71,1756187924
8,6298,LOSS,7900,19.904526,3596,213,155,72.77,1756187945
9,4380,LOSS,1840,3.995756,723,213,39,18.31,1756187949
0,3749,LOSS,3500,25.801039,4399,213,190,89.2,1756193302
1,8430,LOSS,3280,21.778668,3812,213,173,81.22,1756193325
2,6951,LOSS,2300,16.746742,2916,213,160,75.12,1756193342
3,2285,LOSS,27560,25.84203,4497,213,196,92.02,1756193369
4,3080,LOSS,2490,14.978401,2620,213,99,46.48,1756193385
5,5244,LOSS,2050,23.41145,4092,213,190,89.2,1756193409
6,6527,LOSS,1840,4.181985,723,213,39,18.31,1756193414
7,4680,LOSS,2490,14.891293,2589,213,99,46.48,1756193429
8,329,WIN,3730,39.53463,6930,213,213,100.0,1756193469
9,8979,LOSS,1840,4.156708,723,213,39,18.31,1756193474
0,1252,LOSS,3880,9.926127,1752,111,78,70.27,1756336917
1,3187,LOSS,40,0.580974,101,116,4,3.45,1756336918
2,1942,WIN,4390,19.70013,3450,119,119,100.0,1756336939
3,4389,LOSS,750,8.933879,1482,110,70,63.64,1756336948
4,3713,WIN,1840,19.516231,3435,114,114,100.0,1756336968
5,7928,LOSS,1310,5.994138,1062,112,66,58.93,1756336975
6,7060,WIN,1360,21.056402,3690,121,121,100.0,1756336997
7,1765,WIN,1920,16.089555,2835,117,117,100.0,1756337014
8,8538,LOSS,50,0.568341,101,115,5,4.35,1756337015
9,7436,WIN,1360,19.498667,3405,116,116,100.0,1756337035
0,8957,LOSS,560,2.781466,490,168,31,18.45,1756337045
1,1151,LOSS,1140,9.920632,1749,163,84,51.53,1756337056
2,5053,LOSS,1040,14.591023,2561,157,94,59.87,1756337071
3,4456,WIN,1790,26.36346,4643,159,159,100.0,1756337098
4,7684,LOSS,1580,21.815556,3836,167,143,85.63,1756337121
5,6195,LOSS,1340,16.185052,2837,167,124,74.25,1756337138
6,8995,LOSS,1720,23.443662,4130,166,157,94.58,1756337162
7,3197,WIN,1840,24.971714,4365,164,164,100.0,1756337188
8,2136,WIN,14490,26.106926,4590,169,169,100.0,1756337214
9,3557,LOSS,52540,18.746817,3309,162,134,82.72,1756337234
0,3196,DNF,320,2.579482,427,165,27,16.36,1756337562
1,5929,DNF,150,1.036822,168,163,10,6.13,1756337564
2,7317,LOSS,2470,10.321925,1818,168,97,57.74,1756337575
3,9692,DNF,330,2.75027,457,166,28,16.87,1756337578
4,5290,DNF,40,0.512897,71,165,4,2.42,1756337580
5,348,DNF,20,0.360195,43,161,2,1.24,1756337581
6,8978,DNF,20,0.335204,39,172,2,1.16,1756337582
7,5214,DNF,20,0.313195,34,168,2,1.19,1756337583
8,5995,DNF,20,0.328155,38,164,2,1.22,1756337584
