i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
3,9597,DNF,910,7.86174,1372,103,81,78.64,1755950845
4,5046,DNF,20,0.364166,40,103,2,1.94,1755950846
5,9732,DNF,20,0.311614,36,103,2,1.94,1755950846
6,8832,DNF,20,0.272301,32,103,2,1.94,1755950847
7,5092,DNF,20,0.312323,38,103,2,1.94,1755950848
8,2894,DNF,20,0.309829,35,103,2,1.94,1755950849
9,4107,DNF,40,0.487782,72,103,4,3.88,1755950849
0,1322,LOSS,90,1.153103,206,103,9,8.74,1755950855
1,8917,DNF,430,3.411272,590,103,38,36.89,1755950859
2,6974,LOSS,90,1.147016,206,103,9,8.74,1755950860
3,5005,DNF,30,0.377166,50,103,3,2.91,1755950861
4,3998,DNF,20,0.312906,39,103,2,1.94,1755950862
0,5986,WIN,1230,13.87833,2460,103,103,100.0,1755950888
1,6362,LOSS,90,1.142024,206,103,9,8.74,1755950890
2,6214,LOSS,90,1.142898,206,103,9,8.74,1755950892
3,3864,LOSS,90,1.152023,206,103,9,8.74,1755950893
4,9797,LOSS,90,1.162438,206,103,9,8.74,1755950895
0,3806,WIN,1230,15.526416,2805,103,103,100.0,1755950948
1,2214,WIN,1830,15.804459,2805,103,103,100.0,1755950965
2,9850,WIN,4230,18.446789,3300,103,103,100.0,1755950984
3,9674,WIN,1230,15.965716,2835,103,103,100.0,1755951000
4,4352,LOSS,90,1.154291,206,103,9,8.74,1755951002
